species,sample,cellline,sensitivity,group,treatment,pct
PS(18:0_20:4),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.2690370505948239
PS(18:0_22:6),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.18987205309410468
PS(18:0_22:5),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.22705550581785133
PS(24:0_18:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.3972279705226582
PS(17:0_16:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.011571494300392136
PS(O-18:0_17:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.3125577914260619
PS(17:1_18:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.06862877007831372
PS(16:0_20:4),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.30167203174517965
PS(18:1_18:2),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.6303811399570425
PS(16:0_22:6),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.06759042501393084
PS(18:0_20:3),Area[s21-1],MCF10A,Res,Resistant,Ctr,1.2298160005362029
PS(20:0_18:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,1.732359729642128
PS(22:0_18:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.6865630761272823
PS(18:0_22:4),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.3010304992848771
PS(18:0_17:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,1.4052316204736897
PS(20:3_22:6),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.053203516606809866
PS(20:3_22:5),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.05278904921912251
PS(18:1_20:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.4292173986190741
PS(18:1_22:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.9589039180299748
PS(18:1_24:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.44985155101457824
PS(18:1_22:6),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.09360346685046422
PS(20:3_20:4),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.5706157203347657
PS(16:0_16:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.012822226474447583
PS(16:0_18:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.16374542948732057
PS(26:0_18:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.0034630280266333938
PS(16:0_18:3),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.005436958840681552
PS(16:0_20:5),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.043494887044162885
PS(O-15:0_18:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.04990442526747825
PS(O-18:1_21:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.6575971226727013
PS(18:0_21:3),Area[s21-1],MCF10A,Res,Resistant,Ctr,7.648322333489037
PS(18:0_21:4),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.9813205154986737
PS(O-14:0_4:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.0993655039343896
PS(O-18:0_18:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.20975197115524327
PS(18:3_22:5),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.22499613046415168
PS(17:0_18:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,4.635105615811119
PS(18:0_23:6),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.21602325326850375
PS(16:0_18:4),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.0
PS(O-18:0_21:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.7028740342412089
PS(15:0_22:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.5574013147509245
PS(28:0_9:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.2827402347113627
PS(18:0_19:2),Area[s21-1],MCF10A,Res,Resistant,Ctr,4.2680914116252255
PS(23:3_20:4),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.17018734809905284
PS(17:0_22:6),Area[s21-1],MCF10A,Res,Resistant,Ctr,3.679595927561302e-05
PS(18:3_22:6),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.005408839385141249
PS(23:0_18:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,2.6423771971926193
PS(O-17:1_10:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.1021399149483408
PS(18:1_23:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,4.295498553687452
PS(18:1_26:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.04185619927846918
PS(16:0_16:1),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.16456726270507777
PS(16:1_18:1),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.41734394277803183
PS(16:0_18:1),Area[s26-1],Hs578t,Res,Resistant,Ctr,2.895297124614399
PS(18:1_18:1),Area[s26-1],Hs578t,Res,Resistant,Ctr,6.3811510799372515
PS(18:0_18:1),Area[s26-1],Hs578t,Res,Resistant,Ctr,36.86340254875714
PS(18:1_18:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.4221689531331234
PS(18:0_20:5),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.8294473576785933
PS(18:0_20:4),Area[s26-1],Hs578t,Res,Resistant,Ctr,2.0968944962416574
PS(18:0_22:6),Area[s26-1],Hs578t,Res,Resistant,Ctr,1.8588031818084993
PS(18:0_22:5),Area[s26-1],Hs578t,Res,Resistant,Ctr,3.095330002150904
PS(24:0_18:1),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.37091095851978784
PS(17:0_16:1),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.1952474080361636
PS(O-18:0_17:1),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.1989709841091993
PS(17:1_18:1),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.2752183992147666
PS(16:0_20:4),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.44544689416984523
PS(18:1_18:2),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.2855853075114165
PS(16:0_22:6),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.11145502400764336
PS(18:0_20:3),Area[s26-1],Hs578t,Res,Resistant,Ctr,2.832055439066982
PS(20:0_18:1),Area[s26-1],Hs578t,Res,Resistant,Ctr,2.8655914949123544
PS(22:0_18:1),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.5289406676266171
PS(18:0_22:4),Area[s26-1],Hs578t,Res,Resistant,Ctr,2.99960215618456
PS(18:0_17:1),Area[s26-1],Hs578t,Res,Resistant,Ctr,2.9700548981795376
PS(20:3_22:6),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.3216989979725353
PS(20:3_22:5),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.5149764521897239
PS(18:1_20:1),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.5707302191886288
PS(18:1_22:1),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.7171556733967512
PS(18:1_24:1),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.4305138225996808
PS(18:1_22:6),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.10079450095940012
PS(20:3_20:4),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.48965442605615317
PS(16:0_16:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.16925440009358222
PS(16:0_18:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,1.5273984284635043
PS(26:0_18:1),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.014304083315485255
PS(16:0_18:3),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.00441489401396563
PS(16:0_20:5),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.035498236280672
PS(O-15:0_18:1),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.014968342758037967
PS(O-18:1_21:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.4582024420075173
PS(18:0_21:3),Area[s26-1],Hs578t,Res,Resistant,Ctr,3.6187574638561744
PS(18:0_21:4),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.804016506662175
PS(O-14:0_4:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.035994990156330745
PS(O-18:0_18:1),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.08096202269951733
PS(18:3_22:5),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.1344798482501133
PS(17:0_18:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,13.83650537334447
PS(18:0_23:6),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.13621339627420814
PS(16:0_18:4),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.01602988806050106
PS(O-18:0_21:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.2165541279740429
PS(15:0_22:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.45172080646340496
PS(28:0_9:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.22766800414226546
PS(18:0_19:2),Area[s26-1],Hs578t,Res,Resistant,Ctr,2.0729774965969345
PS(23:3_20:4),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.1305680221365707
PS(17:0_22:6),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.03839024598942305
PS(18:3_22:6),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.012085720782882416
PS(23:0_18:1),Area[s26-1],Hs578t,Res,Resistant,Ctr,1.89586808047786
PS(O-17:1_10:0),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.017463856334725535
PS(18:1_23:1),Area[s26-1],Hs578t,Res,Resistant,Ctr,1.7587176387668015
PS(18:1_26:1),Area[s26-1],Hs578t,Res,Resistant,Ctr,0.04197601039239926
PS(16:0_16:1),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.435100303816543
PS(16:1_18:1),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.6516851032237856
PS(16:0_18:1),Area[s31-1],CaCo2,Res,Resistant,Ctr,3.8340973398016507
PS(18:1_18:1),Area[s31-1],CaCo2,Res,Resistant,Ctr,1.4911275865623754
PS(18:0_18:1),Area[s31-1],CaCo2,Res,Resistant,Ctr,28.688754431303305
PS(18:1_18:0),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.32066539957683665
PS(18:0_20:5),Area[s31-1],CaCo2,Res,Resistant,Ctr,1.2921322927621472
PS(18:0_20:4),Area[s31-1],CaCo2,Res,Resistant,Ctr,3.2415181982963066
PS(18:0_22:6),Area[s31-1],CaCo2,Res,Resistant,Ctr,1.7533514096000389
PS(18:0_22:5),Area[s31-1],CaCo2,Res,Resistant,Ctr,1.569442657910383
PS(24:0_18:1),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.33240340672738594
PS(17:0_16:1),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.19251975905544566
PS(O-18:0_17:1),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.23032783637985493
PS(17:1_18:1),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.1575688665476879
PS(16:0_20:4),Area[s31-1],CaCo2,Res,Resistant,Ctr,1.2231132036517711
PS(18:1_18:2),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.5016577444039961
PS(16:0_22:6),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.16584024712694054
PS(18:0_20:3),Area[s31-1],CaCo2,Res,Resistant,Ctr,2.7774255888089883
PS(20:0_18:1),Area[s31-1],CaCo2,Res,Resistant,Ctr,2.624756444788941
PS(22:0_18:1),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.462661312914506
PS(18:0_22:4),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.7819333627732665
PS(18:0_17:1),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.8388152230326894
PS(20:3_22:6),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.44208128054972673
PS(20:3_22:5),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.45988315684118675
PS(18:1_20:1),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.7381024896528705
PS(18:1_22:1),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.6824700959764612
PS(18:1_24:1),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.2217075573418105
PS(18:1_22:6),Area[s31-1],CaCo2,Res,Resistant,Ctr,0.15949922773637523
PS(20:3_20:4),Area[s31-1],CaCo2,Res,Resistant,Ctr,1.053353452609601
