group,species,log2FC_C18,log2FC_rescue,p_C18,p_C18vsRescue,mean_Ctr,mean_C18,mean_rescue
Resistant,PS(15:0_22:0),-0.004098143305388484,-0.06411629574714584,1.0,0.8665112665112666,0.5799216772451626,0.57827667684617,0.554713046775172
Resistant,PS(16:0_16:0),-2.1836094147963263,-1.9751034443192717,0.009324009324009324,1.0,0.08540325071262592,0.018798554343052214,0.021721715058875827
Resistant,PS(16:0_16:1),-1.570686881563417,-1.4579002147267979,0.028904428904428903,0.5358197358197359,0.23723374314023954,0.07986361949057891,0.08635779954378957
Resistant,PS(16:0_18:0),-0.8793158497905076,-0.8345958995178127,0.280963480963481,0.9550893550893552,0.6959620211402561,0.378342013125323,0.39025336080435563
Resistant,PS(16:0_18:1),-0.8445233460474355,-0.691948184647654,0.009324009324009324,0.39689199689199695,3.612725170120938,2.0119073165716497,2.2363392792388495
Resistant,PS(16:0_18:3),-2.7178156370900215,1.4994536464846513,0.05182992721790963,0.08748033392519716,0.008576031415713916,0.0013027459470697873,0.024249322887142342
Resistant,PS(16:0_18:4),-2.400871697966026,-1.7268552517280977,0.020524463598227634,0.24673763680788086,0.03272784236029434,0.00619621049211245,0.009886703056199283
Resistant,PS(16:0_20:4),-0.753765775539474,-0.6664073991096124,0.0721056721056721,0.6943278943278944,0.6378620309509669,0.37828591918342097,0.4018997491481492
Resistant,PS(16:0_20:5),-1.6324929568374023,-1.1411310412893174,0.0003108003108003108,0.1892773892773893,0.051850749760348605,0.01672276547897524,0.0235087896856157
Resistant,PS(16:0_22:6),-1.3355805353084698,-0.9233032271660371,0.020512820512820513,0.5358197358197359,0.11088667275767516,0.04393631018027187,0.058470105146086686
Resistant,PS(16:1_18:1),-1.1237838544467385,-0.9477113235541067,0.028904428904428903,0.6943278943278944,0.3804745139312393,0.17459490903165853,0.19725815877666417
Resistant,PS(17:0_16:1),-1.6884286042985488,-1.4267347774480694,0.009324009324009324,0.6943278943278944,0.13234009641161756,0.04105976845007806,0.04922615809288642
Resistant,PS(17:0_18:0),-0.6216559285184495,-0.5680893411392903,0.1205905205905206,0.8665112665112666,16.378775014450188,10.644967051890674,11.047638951729633
Resistant,PS(17:0_22:6),-1.7614870058033574,-1.3114819771297004,0.009324009324009324,0.39689199689199695,0.02333977996159745,0.006883223139272277,0.009403158723907712
Resistant,PS(17:1_18:1),-1.5455104306468659,-1.1131928024857078,0.0037296037296037296,0.23185703185703188,0.17835143206869788,0.06109799091125065,0.08244595325981595
Resistant,PS(18:0_17:1),-0.9333519759575148,-0.6827285537206795,0.0721056721056721,0.6943278943278944,2.394492918966234,1.2538525017285949,1.4917349801429671
Resistant,PS(18:0_18:1),0.5786183195768624,0.40510093255820234,0.0012432012432012432,0.013986013986013986,34.89747984942863,52.116535700246914,46.21059922563852
Resistant,PS(18:0_19:2),-1.1905184961892508,-0.7317013619969663,0.0012432012432012432,0.09386169386169387,1.8947602373655095,0.8301798548193059,1.1410115824731393
Resistant,PS(18:0_20:3),-0.03600047416503403,0.1465354716336207,0.8665112665112666,0.46340326340326343,2.1343320615995576,2.0817317241549356,2.3625095915415106
Resistant,PS(18:0_20:4),-0.24346612593258965,0.09034679162118722,0.5358197358197359,0.46340326340326343,1.4959753736781636,1.2636703167329826,1.5926544385353305
Resistant,PS(18:0_20:5),-0.08376416000997065,0.05080939253526131,0.778865578865579,0.9550893550893552,0.8780895830459663,0.8285586788884878,0.9095655298964787
Resistant,PS(18:0_21:3),-0.8263059984040868,-0.5286069927519604,0.09386169386169387,0.280963480963481,6.310478658064909,3.558929278462357,4.3745734327104975
Resistant,PS(18:0_21:4),-1.2133039393355398,-0.6083642811424093,0.005905205905205905,0.1205905205905206,1.3613324324690985,0.5871146145173636,0.8929520261628926
Resistant,PS(18:0_22:4),-0.1361222296528449,0.2893898803791628,0.8665112665112666,0.39689199689199695,1.194756089980499,1.0871822237504976,1.460139512321547
Resistant,PS(18:0_22:5),0.002325241612751251,0.20180680043620056,1.0,0.6125874125874127,1.4343226501751924,1.436636263291708,1.649668935686263
Resistant,PS(18:0_22:6),-0.32249919053751286,-0.019771594024843686,0.33566433566433573,0.39689199689199695,1.7508493176738416,1.400124899911301,1.7270182422062548
Resistant,PS(18:0_23:6),-1.3252585567895843,-0.6369670818890762,0.0003108003108003108,0.0721056721056721,0.1646400643863653,0.06570357152262381,0.1058736450126757
Resistant,PS(18:1_18:0),0.5313385916763805,0.02691654497916671,0.013986013986013986,0.054079254079254076,0.38726982163755913,0.5597097276737948,0.3945630060217492
Resistant,PS(18:1_18:1),-0.21615301822426108,-0.14502404803909766,0.9550893550893552,1.0,4.802828052268251,4.134552223147769,4.3435061470348435
Resistant,PS(18:1_18:2),-0.8995773376933006,-0.192351953476667,0.013986013986013986,0.23185703185703188,0.4448171333213424,0.23844098091888752,0.3892939549462822
Resistant,PS(18:1_20:1),-0.099984971561917,0.14653766808913796,0.6125874125874127,0.46340326340326343,0.6315897065127801,0.5893001049946553,0.6991129444152699
Resistant,PS(18:1_22:1),-0.5090051131718523,-0.28730768597674033,0.09386169386169387,0.46340326340326343,0.8547572851680985,0.6006435102695116,0.7004134344556571
Resistant,PS(18:1_22:6),0.12852046184625013,-0.0717245534044883,0.778865578865579,0.6125874125874127,0.1488614050372889,0.16273121855748535,0.14164156710076573
Resistant,PS(18:1_23:1),0.0656618225981848,0.5544728114376452,0.778865578865579,0.09386169386169387,2.31427753306479,2.4220417541388986,3.3988222070156664
Resistant,PS(18:1_24:1),-0.8026061444788514,-0.6812679585299243,0.054079254079254076,0.39689199689199695,0.6802885192974987,0.39001754336601324,0.4242390737081383
Resistant,PS(18:1_26:1),-1.0556108739074623,-0.742050916630995,0.09386169386169387,0.46340326340326343,0.08608124089935999,0.04141260407958833,0.05146660744528085
Resistant,PS(18:3_22:5),-0.023027833208791457,0.04074200569996717,0.8665112665112666,0.8665112665112666,0.1230012381440998,0.12105350198807668,0.12652435943039098
Resistant,PS(18:3_22:6),-2.789520746410695,-1.7425632490634564,0.0030599755224886803,0.19895893109240215,0.02458785197919061,0.0035553855286627623,0.007347089633352614
Resistant,PS(20:0_18:1),-0.22901844690043566,-0.2751004108652286,0.33566433566433573,0.8665112665112666,2.214121954924084,1.88912233429704,1.829734267423125
Resistant,PS(20:3_20:4),0.2607786324759873,0.07291748395311239,0.46340326340326343,0.6943278943278944,0.7004544935942173,0.8392323549438934,0.7367672387365182
Resistant,PS(20:3_22:5),-1.0245227806913166,-0.881442960891337,0.46340326340326343,0.8665112665112666,0.22145349821387458,0.1088600246876493,0.12020986866813253
Resistant,PS(20:3_22:6),-0.1947953987816028,-0.27164284737209865,0.6125874125874127,1.0,0.2904239666555335,0.2537423621845824,0.2405799874014569
Resistant,PS(22:0_18:1),-0.4853476921287805,-0.042728938950419716,0.0721056721056721,0.280963480963481,0.8606181588403575,0.614760690725626,0.8355025849285108
Resistant,PS(23:0_18:1),-0.0628991794035295,-0.10320405718498174,0.6125874125874127,0.8665112665112666,2.958758562718511,2.832533021562173,2.7544950739123015
Resistant,PS(23:3_20:4),-1.1840117831438122,-0.6389729445575246,0.005905205905205905,0.1892773892773893,0.1243739640585212,0.05473964449359106,0.07986886410918333
Resistant,PS(24:0_18:1),-0.9964769535015898,-0.5927600516308636,0.04009324009324009,0.39689199689199695,0.9048235042070681,0.4535173882215919,0.5999638369141165
Resistant,PS(26:0_18:1),-2.006434989146123,-0.9532777994067028,0.07182633114157258,0.5958830905651777,0.06539221752325063,0.0162745468767171,0.03377183315650625
Resistant,PS(28:0_9:0),0.007642568957573645,-0.06526994831052252,0.9550893550893552,0.778865578865579,0.29907777063803037,0.30066632193286646,0.28584845896874517
