group,species,log2FC_C18,log2FC_rescue,p_C18,p_C18vsRescue,mean_Ctr,mean_C18,mean_rescue
Resistant,PI(12:0_16:0),-0.32082628970695,-2.0028903034887997,0.6296063619648409,0.6791567288705544,0.0003126503981354007,0.0002501120228505,7.725566453859999e-05
Resistant,PI(14:0_16:0),-1.564336727631376,-0.8845569025875035,0.054079254079254076,0.3541094107998596,0.041099359844076123,0.013896393222368748,0.022261168404870368
Resistant,PI(14:0_20:4),-4.43121896762275,-4.0917521239283285,0.0030599755224886803,0.5168677495508638,0.011099954448070297,0.0005135534494430493,0.0006500587745794024
Resistant,PI(15:0_16:0),-2.552162351375574,-1.2413666014123828,0.029239238256098945,0.20948237571633044,0.007789603837853057,0.0013272924340538875,0.0032942057580884854
Resistant,PI(15:1_17:1),-0.6788737093743643,-1.1660443525859712,0.3235367862420667,0.5207033237981002,0.02232656853409289,0.013945976890927775,0.009949092192055971
Resistant,PI(16:0_14:1),-1.5372100703963028,-1.4694901705260832,0.013986013986013986,0.9077864979090875,0.019136062028840443,0.006592696052314911,0.006909582322542529
Resistant,PI(16:0_16:0),-0.7177328033216045,-0.6478774761998414,0.0721056721056721,0.8665112665112666,0.7531586162856951,0.457959396631192,0.48067946392193583
Resistant,PI(16:0_16:1),-1.5077278027725591,-1.2439686042272116,0.0012432012432012432,0.9550893550893552,0.6896504295182975,0.24252502392948666,0.29117647605282676
Resistant,PI(16:0_16:3),-0.7748105736946868,0.49534878044480163,0.6943278943278944,0.9550893550893552,0.05901891680726793,0.034494096907723884,0.08319710494833123
Resistant,PI(16:0_17:0),-1.5822639256057978,-0.8040461063913236,0.0021756021756021756,0.151981351981352,0.17249892515382764,0.057606629967637366,0.09879671835310619
Resistant,PI(16:0_17:1),-1.9886038289415227,-2.1172099972712886,0.04210271811660236,0.9048611294504482,0.17503627520622364,0.04410535229891431,0.040343731337811
Resistant,PI(16:0_18:0),-0.35944749697805656,0.22085729416823072,0.46340326340326343,0.23185703185703188,2.4868369746823866,1.9383972635584197,2.8982244171132305
Resistant,PI(16:0_18:1),-0.4830114950676488,-0.3268669946902387,0.5358197358197359,0.5358197358197359,8.686961286072053,6.215369007987663,6.92581845593278
Resistant,PI(16:0_19:3),-2.4458787147272467,-1.6046745011505423,0.0037296037296037296,0.2971897434333751,0.029414479222714528,0.0053977481620842,0.009671099820028213
Resistant,PI(16:0_20:3),-1.0954503069392107,-0.8249010212949712,0.009324009324009324,0.5358197358197359,2.095203120938446,0.9805336345229788,1.182785581102377
Resistant,PI(16:0_20:4),-1.3511662637558532,-1.2344298179993667,0.020512820512820513,0.6943278943278944,2.0202077313290743,0.7918704208379876,0.8586087998262135
Resistant,PI(16:0_20:5),-2.5638555482744776,-1.829191563971713,0.0003108003108003108,0.054079254079254076,0.1252227799012001,0.021177216531035426,0.035239761178288816
Resistant,PI(16:0_22:6),-1.8548870188294106,-1.8210287056736203,0.0003108003108003108,1.0,0.6262203888392391,0.1731206034196247,0.17723161021795
Resistant,PI(16:1_18:1),-1.3534010328918264,-1.2393172886646253,0.0012432012432012432,0.8665112665112666,1.5468184988250893,0.6053751833438151,0.655190055644123
Resistant,PI(16:1_18:2),-1.5175420287006345,-1.239048358125159,0.0012432012432012432,0.8665112665112666,0.18287908068361558,0.06387544449394066,0.07747651499894796
Resistant,PI(16:1_22:6),-1.468442243461752,-1.1583031898616123,0.0037296037296037296,0.5358197358197359,0.3361979818530507,0.1214919931660775,0.1506293168614441
Resistant,PI(17:0_18:0),-1.9338916092345169,-0.8295180711589569,0.009324009324009324,0.028904428904428903,2.5731313855510933,0.6734449541205043,1.4479448133674293
Resistant,PI(17:0_18:1),-0.5927507969790374,-0.4761390838255423,0.151981351981352,0.5358197358197359,0.5996628183003428,0.397622529420497,0.43109669366166475
Resistant,PI(17:0_20:4),-1.676131151362111,-1.3998179693997361,0.0021756021756021756,0.46340326340326343,0.3883063500380137,0.12150839483114845,0.14715853737333906
Resistant,PI(17:0_22:6),-2.158260031356596,-1.6182925625862172,0.005905205905205905,0.23185703185703188,0.0489297277925612,0.010960769549114749,0.015936752282297614
Resistant,PI(17:1_18:1),-1.2814237297861144,-1.1735757646318314,0.0003108003108003108,0.6125874125874127,0.2801674751742533,0.11525732042746051,0.12420362248034732
Resistant,PI(17:1_20:4),-2.7551279568369975,-1.852523825744714,0.0003108003108003108,0.1892773892773893,0.040463485469093195,0.00599273952532125,0.011203920595190113
Resistant,PI(18:0_18:0),0.9202287297508784,3.295395987639375,0.280963480963481,0.09386169386169387,0.09414228280274173,0.17815718872955405,0.9242764938021264
Resistant,PI(18:0_18:1),1.438012990232429,0.8750256618025191,0.028904428904428903,0.23185703185703188,9.851535410116638,26.692484224654578,18.06811782181799
Resistant,PI(18:0_18:2),-0.14205608770377925,-0.02592782056361672,0.23185703185703188,0.46340326340326343,5.717512871114788,5.181362762937365,5.615676710080223
Resistant,PI(18:0_19:1),-0.31517699111671515,-0.3722760910663494,0.6125874125874127,0.9550893550893552,1.2424503467080856,0.9986222264964781,0.9598705531544559
Resistant,PI(18:0_19:3),-0.653525607197283,-0.29809671980581465,0.1892773892773893,0.33566433566433573,0.3281645460748267,0.20862199317636665,0.26690413451779166
Resistant,PI(18:0_20:1),0.2650192640941427,0.9244501437319641,0.33566433566433573,0.1892773892773893,0.25681044588611984,0.30859701194411243,0.4874170397560512
Resistant,PI(18:0_20:2),-0.07354483176330989,0.5839187339107237,0.9550893550893552,0.09386169386169387,2.6851435961736394,2.5516923230756694,4.024802959301083
