species,group,treatment,mean,sem,n
SM(d36:0),Sensitive,C18:0,1.016800099396936,0.19612619664123454,19
SM(d36:2),Sensitive,C18:0,1.4278920472590146,0.1833363702932012,19
SM(d38:0),Sensitive,C18:0,0.3918278589716548,0.06475889072315638,19
SM(d38:1),Sensitive,C18:0,3.4384043919879237,1.242347852967695,19
SM(d42:1),Sensitive,C18:0,0.6322614072188304,0.0645936871072029,19
SM(d42:2),Sensitive,C18:0,0.951102235977205,0.1843075040425898,19
SM(d44:5),Sensitive,C18:0,0.6500261618654221,0.0769198645547949,19
SM(d44:7),Sensitive,C18:0,0.9999079678366748,0.12891094178228968,19
SM(d16:1_16:0),Resistant,C18:0+C18:1,0.9544338155209255,0.2425616777063447,7
SM(d17:1_16:0),Resistant,C18:0+C18:1,1.4328550225980337,0.427225636781568,7
SM(d18:0_16:0),Resistant,C18:0+C18:1,4.51162037461562,1.8198761364487452,7
SM(d18:1_16:0),Resistant,C18:0+C18:1,34.2713082370121,4.149574093968544,7
SM(d18:1_18:0),Resistant,C18:0+C18:1,3.3010976133714043,0.5620402671176574,7
SM(d18:1_18:3),Resistant,C18:0+C18:1,1.4856401289546188,0.20364739097271176,7
SM(d18:1_20:0),Resistant,C18:0+C18:1,2.441264982536636,0.8874424123989224,7
SM(d18:1_22:0),Resistant,C18:0+C18:1,5.245036283794433,0.7331179360050415,7
SM(d18:1_23:0),Resistant,C18:0+C18:1,0.48815021913252016,0.07184264038767439,7
SM(d18:1_23:1),Resistant,C18:0+C18:1,1.1825814911433756,0.1441807062156391,7
SM(d18:1_24:0),Resistant,C18:0+C18:1,4.626203920533113,0.7709616992684656,7
SM(d18:1_24:1),Resistant,C18:0+C18:1,13.997259245247776,2.5837610901907353,7
SM(d18:1_26:4),Resistant,C18:0+C18:1,1.0308876085939271,0.19078811735037426,7
SM(d18:2_16:0),Resistant,C18:0+C18:1,1.5713505110685113,0.2856591598500062,7
SM(d18:2_22:0),Resistant,C18:0+C18:1,2.0151315803825165,0.31404983207917814,7
SM(d18:2_24:1),Resistant,C18:0+C18:1,2.314398217870347,0.3107594716112887,7
SM(d20:1_24:0),Resistant,C18:0+C18:1,0.5401148812653584,0.2774931312938365,7
SM(d20:1_24:1),Resistant,C18:0+C18:1,0.6039799248900344,0.22118463651266052,7
SM(d24:0_10:1),Resistant,C18:0+C18:1,0.6128742164274222,0.07374115590916355,7
SM(d35:1),Resistant,C18:0+C18:1,1.6513012970879593,0.2128048352934304,7
SM(d36:0),Resistant,C18:0+C18:1,0.7231333075988626,0.3579849807237338,7
SM(d36:2),Resistant,C18:0+C18:1,1.2771380758595894,0.10756353450238341,7
SM(d38:0),Resistant,C18:0+C18:1,0.7958498000902283,0.5619332238089476,7
SM(d38:1),Resistant,C18:0+C18:1,2.7946990644213914,1.2561412619707237,7
SM(d42:1),Resistant,C18:0+C18:1,0.44905853658025086,0.09767616864704164,7
SM(d42:2),Resistant,C18:0+C18:1,1.251062897893424,0.21196036360984616,7
SM(d44:5),Resistant,C18:0+C18:1,1.0308876085939271,0.19078811735037426,7
SM(d44:7),Resistant,C18:0+C18:1,1.344147225268838,0.19810591598652041,7
SM(d16:1_16:0),Sensitive,C18:0+C18:1,1.0055682884346897,0.08253322503812431,17
SM(d17:1_16:0),Sensitive,C18:0+C18:1,1.6998118293374436,0.12320859225410198,17
SM(d18:0_16:0),Sensitive,C18:0+C18:1,6.31914720617101,0.9546301359981872,17
SM(d18:1_16:0),Sensitive,C18:0+C18:1,34.312067522928785,1.7492547318952374,17
SM(d18:1_18:0),Sensitive,C18:0+C18:1,3.3355449254010368,0.6830588905580286,17
SM(d18:1_18:3),Sensitive,C18:0+C18:1,1.2071006878949018,0.1540678495241653,17
SM(d18:1_20:0),Sensitive,C18:0+C18:1,1.819412822199872,0.5204719066107942,17
SM(d18:1_22:0),Sensitive,C18:0+C18:1,7.800740302287303,0.38701444591540124,17
SM(d18:1_23:0),Sensitive,C18:0+C18:1,0.6071595193958138,0.1029493148716517,17
SM(d18:1_23:1),Sensitive,C18:0+C18:1,0.7917582697676161,0.06293367822175565,17
SM(d18:1_24:0),Sensitive,C18:0+C18:1,6.861031627997002,0.5894150697813704,17
SM(d18:1_24:1),Sensitive,C18:0+C18:1,10.903361385449005,1.0095089967898494,17
SM(d18:1_26:4),Sensitive,C18:0+C18:1,0.7524939555874085,0.11225090046577248,17
SM(d18:2_16:0),Sensitive,C18:0+C18:1,1.9449680510483756,0.16593201724688947,17
SM(d18:2_22:0),Sensitive,C18:0+C18:1,1.6843471271965496,0.20273962534878598,17
SM(d18:2_24:1),Sensitive,C18:0+C18:1,1.545213560635806,0.13331982476790263,17
SM(d20:1_24:0),Sensitive,C18:0+C18:1,0.4614281959031037,0.09889286095019421,17
SM(d20:1_24:1),Sensitive,C18:0+C18:1,0.36986497021533904,0.054639289361718905,17
SM(d24:0_10:1),Sensitive,C18:0+C18:1,0.6399453794659636,0.03585556060564363,17
SM(d35:1),Sensitive,C18:0+C18:1,1.6460956481540052,0.20862920685649647,17
SM(d36:0),Sensitive,C18:0+C18:1,0.87402827152904,0.13938715174422886,17
SM(d36:2),Sensitive,C18:0+C18:1,1.2630827766239547,0.1846927314527805,17
SM(d38:0),Sensitive,C18:0+C18:1,0.3212977716122568,0.049130656236394336,17
SM(d38:1),Sensitive,C18:0+C18:1,2.6463960201151586,0.8425021522451288,17
SM(d42:1),Sensitive,C18:0+C18:1,0.7604204770200681,0.0647689242568643,17
SM(d42:2),Sensitive,C18:0+C18:1,0.9160067212509015,0.19890952206218665,17
SM(d44:5),Sensitive,C18:0+C18:1,0.7524939555874085,0.11225090046577248,17
SM(d44:7),Sensitive,C18:0+C18:1,0.7741650602972153,0.09609302380716152,17
