species,sample,cellline,sensitivity,group,treatment,pct
Cer(d17:1_29:1),Area[s11-1],A549,Res,Resistant,Ctr,0.724045484121662
Cer(t17:0_26:1),Area[s11-1],A549,Res,Resistant,Ctr,0.23852870326530445
Cer(d23:3),Area[s11-1],A549,Res,Resistant,Ctr,0.0
Cer(m13:1_10:1),Area[s11-1],A549,Res,Resistant,Ctr,0.00582260897853598
Cer(t43:2),Area[s11-1],A549,Res,Resistant,Ctr,0.0906622788470411
Cer(d17:2_30:6),Area[s11-1],A549,Res,Resistant,Ctr,28.270071859627855
Cer(d17:1_39:6),Area[s11-1],A549,Res,Resistant,Ctr,0.0
Cer(d18:1_22:2),Area[s11-1],A549,Res,Resistant,Ctr,0.00385548788746873
Cer(t20:0_24:0),Area[s11-1],A549,Res,Resistant,Ctr,0.3392090265517384
Cer(m20:1_24:2),Area[s11-1],A549,Res,Resistant,Ctr,0.0
Cer(m13:0_7:0),Area[s11-1],A549,Res,Resistant,Ctr,0.04242383825834106
Cer(t15:0_26:1),Area[s11-1],A549,Res,Resistant,Ctr,0.050689868649993856
Cer(t43:0),Area[s11-1],A549,Res,Resistant,Ctr,0.09458130070521366
Cer(m38:1),Area[s11-1],A549,Res,Resistant,Ctr,0.0018211278582014481
Cer(d18:1_12:0),Area[s11-1],A549,Res,Resistant,Ctr,0.005713062130937373
Cer(t18:1_14:0),Area[s11-1],A549,Res,Resistant,Ctr,0.0
Cer(t17:2_6:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.002045899830186532
Cer(d18:1_17:2),Area[s21-1],MCF10A,Res,Resistant,Ctr,14.045627185472442
Cer(d13:2_22:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.41878953503857635
Cer(d18:1_22:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,1.949107956349768
Cer(m18:1_24:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,1.2994711093271354
Cer(m18:2_24:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,1.3072887575817813
Cer(d18:1_23:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.6116299871930427
Cer(d18:1_24:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,10.181358127057525
Cer(d18:1_24:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,5.956271320971888
Cer(d18:0_24:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.3840365914185342
Cer(t18:0_24:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.1398825208382251
Cer(d20:1_24:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.45919458263068275
Cer(d19:0_31:4),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.0
Cer(t16:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.0
Cer(d23:2),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.0029496709166272183
Cer(d18:1_16:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,4.222424302192227
Cer(d18:1_18:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.47782155689579336
Cer(d18:0_22:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.1288366321898194
Cer(m18:1_24:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.2497431095161414
Cer(d20:1_23:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.8379873756603364
Cer(d18:1_24:3),Area[s21-1],MCF10A,Res,Resistant,Ctr,1.5169421679586919
Cer(d18:2_22:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,2.3548218458281065
Cer(d18:2_24:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,6.236056291432659
Cer(d20:1_22:2),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.6159628251572752
Cer(d18:1_26:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,6.25586059835968
Cer(d18:1_14:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.3390192768005465
Cer(d18:2_16:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.43449783809111786
Cer(d17:1_24:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.5995808683171092
Cer(d19:1_24:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.9602384141128364
Cer(t19:2_23:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.23070395960465723
Cer(t18:1_24:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.4620598411571668
Cer(t19:1_23:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,17.263686110668957
Cer(d20:1_23:3),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.4963862554301519
Cer(d20:1_24:2),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.4285294868831235
Cer(d18:0_16:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.7468930709973932
Cer(m18:0_24:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.018675174210496696
Cer(d18:0_26:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.07685014260184458
Cer(d20:1_18:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.409418126228302
Cer(d20:0_18:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.03818266125387654
Cer(d18:0_23:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.05932212801312996
Cer(t17:0_23:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.044134227910605096
Cer(m18:2_24:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.8574633117151254
Cer(d20:1_24:3),Area[s21-1],MCF10A,Res,Resistant,Ctr,5.705291092595501
Cer(d17:1_16:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.14874556264448513
Cer(d17:1_22:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.12260728737161966
Cer(d18:0_18:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.03341619571353465
Cer(d20:0_23:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.04975811796538687
Cer(d17:0_35:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.017591538812242697
Cer(t21:1_23:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.13806928861169718
Cer(m10:0_13:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.23540090877157016
Cer(m18:2_22:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.28608060511014566
Cer(t19:1_21:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.05790521318105598
Cer(d18:1_22:3),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.19712510838864913
Cer(m20:2_24:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.025529528296111346
Cer(t19:0_19:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.05392499785364368
Cer(t21:1_23:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.4960250202559316
Cer(t13:2_22:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.3739023360643615
Cer(m20:2_18:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.030710471604481544
Cer(d19:1_26:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.4922776842104704
Cer(m18:1_22:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.1277201586219367
Cer(d17:1_29:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.3859933553944987
Cer(t17:0_26:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.1263254242944042
Cer(d23:3),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.0
Cer(m13:1_10:1),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.01928100021577215
Cer(t43:2),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.2156226918350309
Cer(d17:2_30:6),Area[s21-1],MCF10A,Res,Resistant,Ctr,7.117377710808144
Cer(d17:1_39:6),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.0
Cer(d18:1_22:2),Area[s21-1],MCF10A,Res,Resistant,Ctr,1.79620830903949e-07
Cer(t20:0_24:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.22111206744327536
Cer(m20:1_24:2),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.016021959125918188
Cer(m13:0_7:0),Area[s21-1],MCF10A,Res,Resistant,Ctr,0.10981733962389992
