group,species,log2FC_C18,log2FC_rescue,p_C18,p_C18vsRescue,mean_Ctr,mean_C18,mean_rescue
Sensitive,PC(16:1COOH_18:1),0.24136134741296467,-0.058975430177032016,0.6452054678219191,0.6803848701396208,0.06148084924341636,0.07267716055976962,0.059018231230204395
Sensitive,PC(16:1_16:0),-0.6054746631198872,-0.13644899214353334,0.001268418918385629,0.06154428387236592,0.018458223176006726,0.012131418576358938,0.016792382542326924
Sensitive,PC(16:1_16:1),-0.4013037246203658,-0.539796938285864,0.17929479635284185,0.08705765959380804,0.8074153866760077,0.6113534824129224,0.5553946696203225
Sensitive,PC(16:1_16:2),-1.214768924974599,-0.6884143717686513,0.0045207427311867755,0.12825937753832092,0.10174256024689952,0.043834407314280455,0.06313448996889866
Sensitive,PC(16:1_17:1),0.7946512074331761,0.006992429624068631,0.0005538808945948657,0.00034268566484287505,0.3449047663675826,0.5982925278188101,0.3465805074270404
Sensitive,PC(16:1_17:2COOH),-0.8802748689616704,-0.5339310257119535,0.0035446467792924694,0.17301991649591408,0.006292854816937816,0.0034182242160769997,0.004345978240645247
Sensitive,PC(16:1_18:1),-0.09427665018628775,-0.15425145117159633,0.4203825652786761,0.7037595070497074,3.9934161083140274,3.740799732987235,3.588477598766459
Sensitive,PC(16:1_18:3),-0.6911999538832321,-0.472135710043058,0.007234360166596892,0.3417941915700977,0.3029640550429884,0.18763692401312207,0.21840548413857572
Sensitive,PC(16:1_19:2COOH),-0.6208814495876612,-0.3999860007983947,0.012630828581031383,0.18322961692812578,0.031166759920446947,0.020266568515399555,0.023619974231399776
Sensitive,PC(16:1_20:5),-1.218103053991144,-1.1489413426443071,4.758998229124915e-05,0.9242650928503746,0.07583052346358368,0.03259499361315386,0.034195682305135415
Sensitive,PC(16:1_22:6),-1.1103409475860548,-1.2927413086538673,0.008109184751252427,0.4857240444947801,0.08681051015227964,0.04020875070389054,0.03543326270336811
Sensitive,PC(17:0COOH_16:1),-1.2286101963716611,-1.0018260356316524,9.089996268359373e-05,0.12049736300022333,0.06032866694164859,0.025743378129516582,0.030125677647947352
Sensitive,PC(17:0COOH_18:1),0.5188083937652378,-0.012686279875479064,0.0018840740051156639,0.0010992236011613556,0.36758204301869896,0.5266614525919139,0.36436388665413494
Sensitive,PC(17:0_17:1COOH),0.5749588602103207,0.12691426744601225,0.0001977816265185538,0.001372172901750965,0.6930403374074091,1.032377621692777,0.756769406871823
Sensitive,PC(17:0_18:0),0.08669642253833461,1.2189460971911026,0.4428506841511466,0.004346171820495373,0.05291434546593128,0.056191694765244,0.12317354712485949
Sensitive,PC(17:0_18:1),0.05675602914092894,0.07743676811351238,0.7882483606685715,0.8741119158347983,0.8134132091376175,0.84605093255302,0.8582662572565123
Sensitive,PC(17:0_26:1),-0.794516317661839,-0.43815641992651694,0.3088098106276699,0.5156838560703307,0.004960788779266033,0.00285965200093924,0.003661183043543413
Sensitive,PC(17:1),-2.871170417602501,-1.524378581795941,0.26127565325401236,0.21685401204871435,3.9467135332050376e-05,4.53087754792639e-06,1.3067560251287756e-05
