group,species,log2FC_C18,log2FC_rescue,p_C18,p_C18vsRescue,mean_Ctr,mean_C18,mean_rescue
Resistant,SM(d16:1_16:0),-0.38317334218435584,-0.15027675511657226,0.1892773892773893,0.46340326340326343,1.0592139062370205,0.8121511799974499,0.9544338155209255
Resistant,SM(d16:1_18:3),-0.553402160353592,-0.3084727285750967,0.09386169386169387,0.280963480963481,0.0732894016172466,0.04993991000214355,0.05918071652281
Resistant,SM(d17:1_16:0),-0.10126907210151527,0.16254302098566129,0.46340326340326343,0.778865578865579,1.2801825093900139,1.1934022060203213,1.4328550225980339
Resistant,SM(d17:1_18:3),-0.23131144504032544,0.06532156715591363,0.46340326340326343,0.33566433566433573,0.08301464516548773,0.07071672226661462,0.08685977470782949
Resistant,SM(d18:0_16:0),-0.25315559612114574,-0.24111784242114304,0.9550893550893552,0.46340326340326343,5.332320773592686,4.474132315414549,4.511620374615622
Resistant,SM(d18:1_16:0),-0.040387427606473784,-0.04646832917751386,0.9550893550893552,1.0,35.39313595798833,34.416065285284375,34.27130823701211
Resistant,SM(d18:1_18:0),0.8252495312801722,0.7964990367740288,0.1205905205905206,0.9550893550893552,1.900588810451325,3.3675428488944723,3.301097613371406
Resistant,SM(d18:1_18:3),0.33669062639799907,0.369592672313242,0.23185703185703188,0.8665112665112666,1.1498867132817538,1.4521420856625,1.485640128954619
Resistant,SM(d18:1_20:0),1.8016255500358302,1.4240179668470296,0.1892773892773893,0.6125874125874127,0.909792808934723,3.171656689653335,2.441264982536637
Resistant,SM(d18:1_22:0),0.3242256706749494,0.22633267660271456,0.1892773892773893,0.8665112665112666,4.483483317651668,5.613286769865616,5.245036283794435
Resistant,SM(d18:1_23:0),-0.42224924455728824,-0.33355869928590653,0.09386169386169387,0.778865578865579,0.615127079260964,0.4590446368130946,0.4881502191325203
Resistant,SM(d18:1_23:1),-0.38002973170607474,-0.2452218501967265,0.151981351981352,0.5358197358197359,1.4016844886837976,1.077084622472819,1.1825814911433759
Resistant,SM(d18:1_24:0),-0.11380317479577036,-0.09047371039146201,0.5358197358197359,0.6943278943278944,4.925610639454596,4.551996319294909,4.626203920533114
Resistant,SM(d18:1_24:1),-0.39223157693899197,-0.267176358419882,0.1892773892773893,0.9550893550893552,16.84500365576712,12.835051973262944,13.99725924524778
Resistant,SM(d18:1_24:3),0.303842528366048,0.370890665541767,0.280963480963481,0.8665112665112666,0.30772032866162,0.37985878136408835,0.3979291213847841
Resistant,SM(d18:1_25:1),-0.6344989072226699,-0.45661728046100114,0.1892773892773893,0.6943278943278944,0.6251492856199447,0.4026986300622294,0.45554153683869425
Resistant,SM(d18:1_26:3),-0.29655534977042086,-0.47232442097762356,0.6125874125874127,0.46340326340326343,0.43153240848438196,0.35135094978029335,0.31104928614152516
Resistant,SM(d18:1_26:4),-0.3463367361589481,-0.17979560591369081,0.46340326340326343,0.6943278943278944,1.167710644728561,0.9184962597026004,1.0308876085939276
Resistant,SM(d18:2_14:0),-0.353497330602495,-0.16603168562562318,0.280963480963481,0.6125874125874127,0.04902017288424356,0.03836710925584388,0.0436911263008467
Resistant,SM(d18:2_16:0),-0.3301748023246986,-0.20061547877308455,0.6125874125874127,0.6943278943278944,1.805778108327114,1.4363881134576986,1.571350511068512
Resistant,SM(d18:2_16:1),-0.424122827395168,-0.41127926949410326,0.33566433566433573,1.0,0.010034116899233685,0.0074780897193863875,0.0075449693913511575
Resistant,SM(d18:2_18:3),-0.5421738359856475,-0.25065340109723117,0.280963480963481,0.6125874125874127,0.11630008658988929,0.07986706906674622,0.09775188418938772
Resistant,SM(d18:2_22:0),-0.09643169811445415,-0.05336096972356315,0.280963480963481,0.778865578865579,2.091060842698188,1.955860254865129,2.0151315803825165
Resistant,SM(d18:2_24:1),-0.6336584824199633,-0.3674355847651631,0.151981351981352,0.5358197358197359,2.9857075126653707,1.9244071883126275,2.3143982178703473
Resistant,SM(d20:0),0.3301763125868729,0.5194615384703669,0.5240789974851849,0.8620647160700694,0.000496716541006021,0.0006247128128139249,0.0007124369180355287
Resistant,SM(d20:1_13:0),-0.6701535562091996,-0.23456189266386987,0.39689199689199695,0.33566433566433573,0.0139848847949993,0.008788286565365726,0.01188620578378033
Resistant,SM(d20:1_15:0),-1.5710700811425573,-0.773247315364292,0.1892773892773893,0.6943278943278944,0.07414022277126739,0.024951871184560513,0.04337895611686301
Resistant,SM(d20:1_20:3),1.7428349742526834,1.5644697582637956,0.280963480963481,0.9550893550893552,0.07024877783133648,0.23511953422603482,0.2077759082638883
Resistant,SM(d20:1_24:0),0.3426529635186731,-0.36547234557181324,0.778865578865579,0.6125874125874127,0.6958321032357623,0.8823754446568957,0.5401148812653587
Resistant,SM(d20:1_24:1),0.6513525648216024,0.2738823845819728,0.46340326340326343,0.5358197358197359,0.4995460627900973,0.7846076098799192,0.6039799248900346
Resistant,SM(d22:1_15:0),-0.21647876215132733,0.9126408411447777,0.8665112665112666,0.33566433566433573,0.008222004471299742,0.00707624003477835,0.015478709094611728
Resistant,SM(d24:0_10:1),-0.22156883154609938,0.008120038360345718,0.46340326340326343,0.39689199689199695,0.6094344101297555,0.5226705004578107,0.6128742164274222
Resistant,SM(d30:0),-0.5225807124333738,-1.0132219237612428,0.5992448359443866,0.5168677495508638,0.000864045415854457,0.0006011801553955125,0.00042757685907727144
Resistant,SM(d30:1),0.01887168950111679,0.11246924717303301,0.6125874125874127,0.6125874125874127,0.014616805286013486,0.014809274815540787,0.015801972691932214
